model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive
XGBoost,0.74,0.813278,0.864407,0.778626,0.854545,0.819277,0.901388,0.91253,94,16,29,102
XGBoost,0.75,0.817427,0.871795,0.778626,0.863636,0.822581,0.901388,0.91253,95,15,29,102
XGBoost,0.76,0.821577,0.87931,0.778626,0.872727,0.825911,0.901388,0.91253,96,14,29,102
XGBoost,0.77,0.821577,0.885965,0.770992,0.881818,0.82449,0.901388,0.91253,97,13,30,101
XGBoost,0.78,0.817427,0.884956,0.763359,0.881818,0.819672,0.901388,0.91253,97,13,31,100
XGBoost,0.79,0.813278,0.883929,0.755725,0.881818,0.814815,0.901388,0.91253,97,13,32,99
XGBoost,0.8,0.804979,0.881818,0.740458,0.881818,0.804979,0.901388,0.91253,97,13,34,97
XGBoost,0.81,0.792531,0.878505,0.717557,0.881818,0.789916,0.901388,0.91253,97,13,37,94
XGBoost,0.82,0.780083,0.882353,0.687023,0.890909,0.772532,0.901388,0.91253,98,12,41,90
XGBoost,0.83,0.784232,0.891089,0.687023,0.9,0.775862,0.901388,0.91253,99,11,41,90
XGBoost,0.84,0.780083,0.897959,0.671756,0.909091,0.768559,0.901388,0.91253,100,10,43,88
XGBoost,0.85,0.775934,0.896907,0.664122,0.909091,0.763158,0.901388,0.91253,100,10,44,87
XGBoost,0.86,0.767635,0.903226,0.641221,0.918182,0.75,0.901388,0.91253,101,9,47,84
XGBoost,0.87,0.746888,0.897727,0.603053,0.918182,0.721461,0.901388,0.91253,101,9,52,79
XGBoost,0.88,0.742739,0.896552,0.59542,0.918182,0.715596,0.901388,0.91253,101,9,53,78
XGBoost,0.89,0.73029,0.892857,0.572519,0.918182,0.697674,0.901388,0.91253,101,9,56,75
XGBoost,0.9,0.721992,0.910256,0.541985,0.936364,0.679426,0.901388,0.91253,103,7,60,71
XGBoost,0.91,0.709544,0.906667,0.519084,0.936364,0.660194,0.901388,0.91253,103,7,63,68
XGBoost,0.92,0.705394,0.916667,0.503817,0.945455,0.650246,0.901388,0.91253,104,6,65,66
XGBoost,0.93,0.692946,0.925373,0.473282,0.954545,0.626263,0.901388,0.91253,105,5,69,62
XGBoost,0.94,0.66805,0.918033,0.427481,0.954545,0.583333,0.901388,0.91253,105,5,75,56
XGBoost,0.95,0.66805,0.947368,0.412214,0.972727,0.574468,0.901388,0.91253,107,3,77,54
